iter	Passed	Remaining
407	4976	7220
408	4992	7214
409	5006	7204
410	5021	7196
411	5036	7188
412	5053	7182
413	5064	7168
414	5079	7159
415	5100	7160
416	5116	7152
417	5128	7140
418	5146	7136
419	5157	7122
420	5173	7114
421	5189	7107
422	5202	7096
423	5220	7091
424	5236	7084
425	5253	7079
426	5272	7075
427	5290	7071
428	5303	7059
429	5317	7048
430	5335	7043
431	5346	7029
432	5358	7016
433	5372	7006
434	5386	6996
435	5400	6986
436	5415	6977
437	5430	6968
438	5447	6961
439	5466	6957
440	5478	6944
441	5491	6933
442	5505	6922
443	5520	6913
444	5536	6904
445	5551	6895
446	5565	6884
447	5578	6873
448	5591	6861
449	5609	6855
450	5620	6841
451	5632	6829
452	5645	6817
453	5656	6802
454	5668	6789
455	5680	6776
456	5692	6763
457	5704	6750
458	5716	6737
459	5729	6725
460	5748	6720
461	5758	6705
462	5771	6694
463	5781	6679
464	5793	6665
465	5806	6653
466	5818	6641
467	5829	6627
468	5845	6618
469	5854	6602
470	5867	6590
471	5880	6578
472	5896	6570
473	5910	6559
474	5925	6548
475	5939	6538
476	5951	6525
477	5963	6512
478	5978	6502
479	5991	6490
480	6005	6479
481	6017	6466
482	6030	6455
483	6047	6447
484	6059	6434
485	6071	6421
486	6082	6407
487	6096	6395
488	6106	6381
489	6119	6368
490	6132	6357
491	6142	6342
492	6152	6327
493	6167	6317
494	6179	6304
495	6191	6291
496	6200	6275
497	6209	6259
498	6220	6245
499	6230	6230
500	6242	6217
501	6259	6209
502	6276	6201
503	6287	6188
504	6298	6173
505	6310	6160
506	6321	6146
507	6338	6138
508	6353	6128
509	6369	6119
510	6384	6109
511	6400	6100
512	6412	6087
513	6424	6074
514	6436	6061
515	6445	6046
516	6459	6034
517	6468	6019
518	6479	6004
519	6493	5993
520	6505	5980
521	6518	5968
522	6530	5956
523	6540	5941
524	6550	5927
525	6561	5913
526	6574	5900
527	6593	5893
528	6603	5879
529	6613	5864
530	6628	5854
531	6637	5838
532	6648	5824
533	6664	5815
534	6675	5802
535	6692	5793
536	6705	5781
537	6720	5771
538	6733	5759
539	6745	5746
540	6757	5732
541	6773	5724
542	6791	5715
543	6801	5701
544	6813	5688
545	6823	5674
546	6835	5661
547	6844	5645
548	6853	5630
549	6865	5617
550	6877	5604
551	6887	5589
552	6902	5579
553	6911	5564
554	6926	5553
555	6937	5539
556	6946	5524
557	6957	5510
558	6965	5495
559	6979	5483
560	6994	5473
561	7004	5458
562	7013	5443
563	7022	5429
564	7031	5413
565	7043	5400
566	7053	5386
567	7069	5376
568	7083	5365
569	7102	5358
570	7117	5347
571	7128	5334
572	7140	5320
573	7149	5305
574	7162	5293
575	7172	5280
576	7188	5270
577	7198	5255
578	7211	5243
579	7223	5231
580	7233	5216
581	7246	5204
582	7262	5194
583	7271	5179
584	7282	5165
585	7291	5151
586	7300	5136
587	7309	5121
588	7320	5108
589	7333	5095
590	7342	5081
591	7358	5071
592	7371	5059
593	7388	5049
594	7397	5034
595	7409	5022
596	7418	5007
597	7431	4995
598	7441	4981
599	7454	4969
600	7463	4954
601	7474	4941
602	7483	4927
603	7496	4914
604	7505	4900
605	7519	4888
606	7530	4875
607	7542	4862
608	7554	4850
609	7567	4838
610	7577	4824
611	7587	4810
612	7596	4795
613	7605	4781
614	7615	4767
615	7624	4752
616	7636	4740
617	7651	4729
618	7663	4717
619	7673	4703
620	7686	4690
621	7698	4678
622	7713	4667
623	7723	4654
624	7737	4642
625	7754	4633
626	7769	4621
627	7782	4609
628	7795	4597
629	7808	4585
630	7817	4571
631	7827	4557
632	7842	4546
633	7854	4534
634	7869	4523
635	7878	4509
636	7890	4496
637	7902	4483
638	7914	4471
639	7924	4457
640	7939	4446
641	7955	4436
642	7968	4424
643	7980	4411
644	7991	4398
645	8007	4388
646	8018	4374
647	8028	4361
648	8044	4350
649	8055	4337
650	8067	4324
651	8079	4312
652	8095	4301
653	8107	4289
654	8117	4275
655	8127	4262
656	8141	4250
657	8152	4237
658	8167	4226
659	8182	4215
660	8195	4202
661	8206	4189
662	8220	4178
663	8233	4166
664	8245	4153
665	8255	4140
666	8266	4127
667	8277	4113
668	8290	4101
669	8302	4089
670	8312	4075
671	8322	4062
672	8336	4050
673	8348	4037
674	8361	4026
675	8378	4015
676	8389	4002
677	8403	3990
678	8415	3978
679	8426	3965
680	8438	3952
681	8454	3942
682	8467	3929
683	8479	3917
684	8490	3904
685	8501	3891
686	8511	3878
687	8522	3864
688	8534	3852
689	8548	3840
690	8562	3828
691	8576	3817
692	8586	3804
693	8598	3791
694	8608	3777
695	8618	3764
696	8629	3751
697	8640	3738
698	8652	3725
699	8662	3712
700	8671	3698
701	8683	3686
702	8698	3674
703	8706	3660
704	8716	3647
705	8731	3636
706	8742	3623
707	8750	3609
708	8761	3596
709	8777	3585
710	8789	3572
711	8798	3558
712	8809	3546
713	8819	3532
714	8832	3520
715	8842	3507
716	8851	3493
717	8862	3480
718	8875	3468
719	8901	3461
720	8912	3448
721	8921	3435
722	8936	3423
723	8946	3410
724	8962	3399
725	8974	3386
726	8996	3378
727	9009	3366
728	9029	3356
729	9038	3343
730	9049	3330
731	9061	3317
732	9073	3305
733	9085	3292
734	9097	3279
735	9109	3267
736	9127	3257
737	9140	3244
738	9159	3234
739	9171	3222
740	9186	3210
741	9201	3199
742	9210	3185
743	9219	3172
744	9235	3161
745	9245	3147
746	9254	3134
747	9265	3121
748	9278	3109
749	9290	3096
750	9300	3083
751	9310	3070
752	9321	3057
753	9333	3045
754	9341	3031
755	9351	3018
756	9362	3005
757	9374	2993
758	9383	2979
759	9394	2966
760	9403	2953
761	9413	2940
762	9427	2928
763	9436	2915
764	9451	2903
765	9472	2893
766	9489	2882
767	9501	2870
768	9511	2857
769	9524	2845
770	9535	2832
771	9548	2820
772	9560	2807
773	9571	2794
774	9583	2782
775	9596	2770
776	9609	2757
777	9621	2745
778	9632	2732
779	9643	2719
780	9654	2707
781	9663	2693
782	9672	2680
783	9684	2668
784	9694	2655
785	9703	2642
786	9712	2628
787	9725	2616
788	9739	2604
789	9752	2592
790	9762	2579
791	9773	2566
792	9788	2555
793	9800	2542
794	9809	2529
795	9825	2518
796	9834	2504
797	9844	2491
798	9854	2479
799	9869	2467
800	9881	2454
801	9891	2442
802	9899	2428
803	9909	2415
804	9923	2403
805	9938	2392
806	9962	2382
807	9974	2370
808	9984	2357
809	10001	2346
810	10017	2334
811	10031	2322
812	10046	2310
813	10063	2299
814	10073	2286
815	10085	2274
816	10098	2261
817	10112	2249
818	10124	2237
819	10134	2224
820	10145	2211
821	10155	2199
822	10171	2187
823	10183	2175
824	10193	2162
825	10209	2150
826	10222	2138
827	10231	2125
828	10243	2112
829	10254	2100
830	10269	2088
831	10283	2076
832	10295	2064
833	10304	2051
834	10316	2038
835	10327	2025
836	10338	2013
837	10353	2001
838	10364	1988
839	10378	1976
840	10389	1964
841	10399	1951
842	10408	1938
843	10420	1926
844	10430	1913
845	10441	1900
846	10451	1887
847	10464	1875
848	10472	1862
849	10484	1850
850	10496	1837
851	10508	1825
852	10518	1812
853	10529	1800
854	10540	1787
855	10558	1776
856	10575	1764
857	10584	1751
858	10600	1740
859	10614	1727
860	10627	1715
861	10639	1703
862	10652	1691
863	10664	1678
864	10680	1666
865	10692	1654
866	10718	1644
867	10735	1632
868	10753	1621
869	10766	1608
870	10782	1596
871	10795	1584
872	10805	1571
873	10823	1560
874	10834	1547
875	10847	1535
876	10859	1523
877	10870	1510
878	10884	1498
879	10895	1485
880	10907	1473
881	10921	1461
882	10932	1448
883	10948	1436
884	10959	1424
885	10970	1411
886	10984	1399
887	10993	1386
888	11007	1374
889	11020	1362
890	11032	1349
891	11044	1337
892	11052	1324
893	11068	1312
894	11079	1299
895	11088	1287
896	11099	1274
897	11112	1262
898	11122	1249
899	11133	1237
900	11141	1224
901	11152	1211
902	11164	1199
903	11174	1186
904	11185	1174
905	11196	1161
906	11208	1149
907	11223	1137
908	11234	1124
909	11247	1112
910	11260	1100
911	11275	1087
912	11288	1075
913	11301	1063
914	11316	1051
915	11333	1039
916	11346	1027
917	11358	1014
918	11370	1002
919	11381	989
920	11392	977
921	11407	965
922	11417	952
923	11427	939
924	11453	928
925	11467	916
926	11479	903
927	11490	891
928	11501	878
929	11511	866
930	11521	853
931	11537	841
932	11555	829
933	11569	817
934	11580	805
935	11591	792
936	11604	780
937	11625	768
938	11642	756
939	11651	743
940	11665	731
941	11677	718
942	11690	706
943	11705	694
944	11718	682
945	11732	669
946	11745	657
947	11762	645
948	11773	632
949	11785	620
950	11800	608
951	11812	595
952	11823	583
953	11837	570
954	11853	558
955	11867	546
956	11876	533
957	11889	521
958	11905	508
959	11916	496
960	11936	484
961	11954	472
962	11967	459
963	11978	447
964	11992	434
965	12011	422
966	12032	410
967	12049	398
968	12064	385
969	12079	373
970	12092	361
971	12116	349
972	12134	336
973	12153	324
974	12169	312
975	12182	299
976	12204	287
977	12219	274
978	12230	262
979	12241	249
980	12252	237
981	12263	224
982	12274	212
983	12286	199
984	12300	187
985	12308	174
986	12320	162
987	12332	149
988	12348	137
989	12366	124
990	12382	112
991	12398	99
992	12415	87
993	12428	75
994	12446	62
995	12459	50
996	12470	37
997	12480	25
998	12493	12
999	12508	0
