iter	RMSE
0	0.2394082412
1	0.2288042381
2	0.2188224828
3	0.2094537778
4	0.2007050349
5	0.1924607801
6	0.1847726667
7	0.1775757776
8	0.170874512
9	0.1645644377
10	0.1586906207
11	0.1532139556
12	0.1481543251
13	0.1434485028
14	0.1390502287
15	0.1349824779
16	0.1311816187
17	0.1276351443
18	0.1243732215
19	0.121380164
20	0.1186010588
21	0.11605072
22	0.1137013191
23	0.1115592496
24	0.1095818506
25	0.1077724722
26	0.1061259852
27	0.1045809466
28	0.1031688052
29	0.1019010798
30	0.1007337659
31	0.0996608945
32	0.09868188395
33	0.09779552708
34	0.09700050135
35	0.09627759407
36	0.09560777012
37	0.09498057762
38	0.09440923065
39	0.09389975803
40	0.09343323007
41	0.09301697578
42	0.09264395996
43	0.09229245988
44	0.09197973897
45	0.09169859846
46	0.09144045384
47	0.09120614269
48	0.0909961186
49	0.09080365241
50	0.090629337
51	0.09047543441
52	0.09032800802
53	0.09019476328
54	0.09007529424
55	0.08997011006
56	0.08986794851
57	0.08977726911
58	0.089695236
59	0.08962123445
60	0.08954934735
61	0.0894836526
62	0.08942784305
63	0.08938122083
64	0.08933317503
65	0.08929363652
66	0.08924966139
67	0.08921044092
68	0.08917973578
69	0.08915271444
70	0.08912722499
71	0.08910401029
72	0.08908370299
73	0.08906408323
74	0.08904238978
75	0.08902705355
76	0.08901179885
77	0.0889982178
78	0.08898234573
79	0.08896436519
80	0.08895403919
81	0.08894375029
82	0.08893066056
83	0.08892043406
84	0.08890965859
85	0.08890324554
86	0.08889593166
87	0.08889249863
88	0.08888903099
89	0.08888434468
90	0.08888079241
91	0.08887472603
92	0.0888721085
93	0.08886543212
94	0.08886342375
95	0.08886218573
96	0.08885951801
97	0.08885742134
98	0.08885589959
99	0.0888538795
100	0.08885104286
101	0.08884707908
102	0.08884592134
103	0.08884422688
104	0.08884268574
105	0.0888416583
106	0.08884068835
107	0.0888400596
108	0.0888395497
109	0.08883881743
110	0.0888381465
111	0.08883135254
112	0.08883078891
113	0.08883033264
114	0.08883000289
115	0.0888296348
116	0.08882944309
117	0.08882900598
118	0.08882834264
119	0.0888253403
120	0.08882295523
121	0.08881979548
122	0.08881644772
123	0.08881414295
124	0.0888140394
125	0.0888140394
126	0.08881205671
127	0.08881198384
128	0.08881113246
129	0.08881088701
130	0.08881087167
131	0.08880877769
132	0.08880854374
133	0.08880653791
134	0.08880544485
135	0.08880532212
136	0.0888051687
137	0.08879564888
138	0.08879379236
139	0.0887936466
140	0.08878970711
141	0.08878955366
142	0.08878941173
143	0.08878887469
144	0.08877709725
145	0.08877576212
146	0.08877039838
147	0.08877032164
148	0.0887658401
149	0.08876561755
150	0.08876556767
151	0.08876552162
152	0.0887587528
153	0.08872191048
154	0.08872182602
155	0.08872177612
156	0.08872074343
157	0.0887207204
158	0.08872031347
159	0.08872029811
160	0.08872028659
161	0.08871973377
162	0.08871968387
163	0.08869793307
164	0.08869785243
165	0.08869782555
166	0.08869733787
167	0.08869732251
168	0.08869729563
169	0.08869712667
170	0.08869706523
171	0.08869705755
172	0.08869703067
173	0.08869702683
174	0.08869700763
175	0.08869697307
176	0.08869693851
177	0.08869692315
178	0.08869690779
179	0.08869305232
180	0.08869303696
181	0.08869299088
182	0.0886929448
183	0.08869267598
184	0.0886926299
185	0.08869258766
186	0.0886925915
187	0.08869242253
188	0.08869237261
189	0.08869236877
190	0.08869236877
191	0.08868219161
192	0.08868214552
193	0.08866333197
194	0.08866317831
195	0.08865506473
196	0.08865494948
197	0.08865493411
198	0.08865451151
199	0.08865412732
200	0.08865392754
201	0.08865391217
202	0.08865390449
203	0.08865389681
204	0.0886507003
205	0.08864912122
206	0.08864899059
207	0.08864895216
208	0.08864894064
209	0.08864894448
210	0.08864873316
211	0.08864872932
212	0.08864870243
213	0.08864866785
214	0.08863942325
215	0.08863942325
216	0.08863941941
217	0.08863923497
218	0.08863923112
219	0.08863772484
220	0.0886375673
221	0.08863752887
222	0.08863750197
223	0.08863749813
224	0.08863337877
225	0.08863200305
226	0.08863199921
227	0.08863190698
228	0.08863191082
229	0.08863172636
230	0.08863164182
231	0.08863163798
232	0.08863161492
233	0.08863153807
234	0.08863146889
235	0.08863147274
236	0.08862366371
237	0.08861878272
238	0.0886186213
239	0.08861855596
240	0.08861855211
241	0.0886185598
242	0.08861855211
243	0.08861847525
244	0.0886184714
245	0.08861847525
246	0.08861839453
247	0.08861839838
248	0.08861834457
249	0.08861834841
250	0.0886069673
251	0.08859365481
252	0.08859365865
253	0.08859365865
254	0.08859361252
255	0.08859361252
256	0.08859003322
257	0.08859003322
258	0.08859002938
259	0.08859002938
260	0.08859003322
261	0.08858999093
262	0.08858996017
263	0.08858996017
264	0.08858996017
265	0.08858996402
266	0.08858993326
267	0.08858993326
268	0.08858859915
269	0.088588603
